rank,freq,word
1,1,aquell
2,1,dia
3,1,fou
4,1,increïble
5,1,perquè
6,1,nasqué
7,1,una
8,1,altra
9,1,ciència
10,1,lingüística
11,1,cap
12,1,heroi
13,1,superb
14,1,s’hi
15,1,podria
16,1,equiparar
17,1,mai
18,1,després
19,1,d
20,1,aquella
21,1,gesta
22,1,intraduïble
23,1,només
24,1,ell
25,1,podia
26,1,aconseguir-ho
27,1,dos-cents
28,1,elements
29,1,diferents
30,1,sobre
31,1,la
32,1,seva
33,1,consciència
34,1,requeia
35,1,excessiva
36,1,responsabilitat
37,1,ser
38,1,pioner
39,1,sense
40,1,caure
41,1,en
42,1,místiques
43,1,fantasies
44,1,estúpides
45,1,així
46,1,començà
47,1,molt
48,1,animat
49,1,contra
50,1,aquelles
51,1,ciclòpies
52,1,dificultats
53,1,semblava
54,1,impossible
55,1,crear
56,1,aquest
57,1,text
58,1,rar
59,1,alguna
60,1,llei
61,1,zipfiana
62,1,marcava
63,1,com
64,1,caldria
65,1,distribuir
66,1,les
67,1,paraules
68,1,si
69,1,aconseguia
70,1,no
71,1,repetir-ne
72,1,l
73,1,inusual
74,1,codi
75,1,destrossaria
76,1,qualsevol
77,1,sistema
78,1,informàtic
79,1,que
80,1,el
81,1,tractés
82,1,llavors
83,1,generà
84,1,algun
85,1,mot
86,1,nou
87,1,ambigu
88,1,violar
89,1,distribucions
90,1,conegudes
91,1,creant
92,1,un
93,1,paràgraf
94,1,únic
95,1,encriptat
96,1,mitjançant
97,1,bojos
98,1,atzars
99,1,estadístics
100,1,per
101,1,altres
102,1,llengües
103,1,serà
104,1,possible
105,1,incloure
106,1,més
107,1,hapax
108,1,legomena
109,1,tanmateix
110,1,era
111,1,irreconeixible
112,1,davant
113,1,màquines
114,1,analítiques
115,1,durant
116,1,set
117,1,dies
118,1,lluità
119,1,envers
120,1,aquells
121,1,ètims
122,1,puix
123,1,alguns
124,1,eren
125,1,massa
126,1,durs
127,1,enrocats
128,1,resistien
129,1,vans
130,1,intents
131,1,tot
132,1,evitant-los
133,1,negà
134,1,renegà
135,1,seguidament
136,1,digué
137,1,necessito
138,1,variants
139,1,morfològiques
140,1,bregà
141,1,però
142,1,màquina
143,1,seguia
144,1,ignorant
145,1,va
146,1,perdre
147,1,refeia
148,1,trossos
149,1,textuals
150,1,quan
151,1,detectava
152,1,repeticions
153,1,llistats
154,1,o
155,1,absurds
156,1,molts
157,1,monosíl·labs
158,1,emergien
159,1,instanciant
160,1,possibilitats
161,1,concises
162,1,de
163,1,combinatòria
164,1,limitada
165,1,igual
166,1,passava
167,1,amb
168,1,tota
169,1,frase
170,1,breu
171,1,exclamà
172,1,definitivament
173,1,entén-me
174,1,ara
175,1,ella
176,1,continuà
177,1,abstreta
178,1,atrafegada
179,1,dins
180,1,cada
181,1,bucle
182,1,infinit
183,1,creava
184,1,i
185,1,destruïa
186,1,textos
187,1,a
188,1,ningú
189,1,importen
190,1,els
191,1,teus
192,1,esforços
193,1,solitaris
194,1,tots
195,1,fugen
196,1,necis
197,1,volen
198,1,èxits
199,1,contrastables
200,1,empíricament
201,1,suà
202,1,fins
203,1,assolir
204,1,diverses
205,1,incorporacions
206,1,finals
207,1,ja
208,1,estava
209,1,havia
210,1,conclòs
211,1,li
212,1,van
213,1,arribar
214,1,felicitacions
215,1,zipf
216,1,ha
217,1,mort
218,1,visca
219,1,george
220,1,kingsley
