year,proportion,ngram
1800,0.0,ley de Zipf
1801,0.0,ley de Zipf
1802,0.0,ley de Zipf
1803,0.0,ley de Zipf
1804,0.0,ley de Zipf
1805,0.0,ley de Zipf
1806,0.0,ley de Zipf
1807,0.0,ley de Zipf
1808,0.0,ley de Zipf
1809,0.0,ley de Zipf
1810,0.0,ley de Zipf
1811,0.0,ley de Zipf
1812,0.0,ley de Zipf
1813,0.0,ley de Zipf
1814,0.0,ley de Zipf
1815,0.0,ley de Zipf
1816,0.0,ley de Zipf
1817,0.0,ley de Zipf
1818,0.0,ley de Zipf
1819,0.0,ley de Zipf
1820,0.0,ley de Zipf
1821,0.0,ley de Zipf
1822,0.0,ley de Zipf
1823,0.0,ley de Zipf
1824,0.0,ley de Zipf
1825,0.0,ley de Zipf
1826,0.0,ley de Zipf
1827,0.0,ley de Zipf
1828,0.0,ley de Zipf
1829,0.0,ley de Zipf
1830,0.0,ley de Zipf
1831,0.0,ley de Zipf
1832,0.0,ley de Zipf
1833,0.0,ley de Zipf
1834,0.0,ley de Zipf
1835,0.0,ley de Zipf
1836,0.0,ley de Zipf
1837,0.0,ley de Zipf
1838,0.0,ley de Zipf
1839,0.0,ley de Zipf
1840,0.0,ley de Zipf
1841,0.0,ley de Zipf
1842,0.0,ley de Zipf
1843,0.0,ley de Zipf
1844,0.0,ley de Zipf
1845,0.0,ley de Zipf
1846,0.0,ley de Zipf
1847,0.0,ley de Zipf
1848,0.0,ley de Zipf
1849,0.0,ley de Zipf
1850,0.0,ley de Zipf
1851,0.0,ley de Zipf
1852,0.0,ley de Zipf
1853,0.0,ley de Zipf
1854,0.0,ley de Zipf
1855,0.0,ley de Zipf
1856,0.0,ley de Zipf
1857,0.0,ley de Zipf
1858,0.0,ley de Zipf
1859,0.0,ley de Zipf
1860,0.0,ley de Zipf
1861,0.0,ley de Zipf
1862,0.0,ley de Zipf
1863,0.0,ley de Zipf
1864,0.0,ley de Zipf
1865,0.0,ley de Zipf
1866,0.0,ley de Zipf
1867,0.0,ley de Zipf
1868,0.0,ley de Zipf
1869,0.0,ley de Zipf
1870,0.0,ley de Zipf
1871,0.0,ley de Zipf
1872,0.0,ley de Zipf
1873,0.0,ley de Zipf
1874,0.0,ley de Zipf
1875,0.0,ley de Zipf
1876,0.0,ley de Zipf
1877,0.0,ley de Zipf
1878,0.0,ley de Zipf
1879,0.0,ley de Zipf
1880,0.0,ley de Zipf
1881,0.0,ley de Zipf
1882,0.0,ley de Zipf
1883,0.0,ley de Zipf
1884,0.0,ley de Zipf
1885,0.0,ley de Zipf
1886,0.0,ley de Zipf
1887,0.0,ley de Zipf
1888,0.0,ley de Zipf
1889,0.0,ley de Zipf
1890,0.0,ley de Zipf
1891,0.0,ley de Zipf
1892,0.0,ley de Zipf
1893,0.0,ley de Zipf
1894,0.0,ley de Zipf
1895,0.0,ley de Zipf
