tokens,types
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,14
16,14
17,15
18,15
19,16
20,17
21,17
22,18
23,19
24,20
25,21
26,22
27,23
28,24
29,24
30,25
31,26
32,27
33,27
34,28
35,28
36,29
37,29
38,30
39,30
40,31
41,32
42,33
43,33
44,33
45,34
46,35
47,36
48,36
49,37
50,37
51,37
52,38
53,38
54,39
55,39
56,39
57,40
58,41
59,41
60,42
61,42
62,42
63,42
64,43
65,43
66,43
67,44
68,44
69,44
70,44
71,45
72,46
73,47
74,47
75,48
76,48
77,48
78,49
79,49
80,50
81,50
82,50
83,51
84,51
85,51
86,52
87,53
88,54
89,55
90,55
91,56
92,57
93,58
94,58
95,59
96,59
97,60
98,61
99,62
100,62
101,63
102,63
103,64
104,64
105,65
106,66
107,67
108,67
109,67
110,68
111,69
112,70
113,70
114,70
115,70
116,71
117,71
118,71
119,72
120,72
121,72
122,72
123,73
124,73
125,73
126,73
127,73
128,74
129,75
130,75
131,75
132,76
133,76
134,77
135,77
136,78
137,78
138,78
139,79
140,80
141,81
142,82
143,83
144,83
145,83
146,84
147,85
148,85
149,85
150,86
151,87
152,87
153,88
154,88
155,88
156,89
157,89
158,90
159,90
160,90
161,90
162,90
163,91
164,91
165,92
166,92
167,93
168,94
169,95
170,95
171,95
172,95
173,95
174,95
175,96
176,96
177,96
178,96
179,96
180,96
181,97
182,97
183,97
184,98
185,99
186,100
187,100
188,100
189,100
190,100
191,101
192,101
193,101
194,101
195,101
196,101
197,102
198,102
199,102
200,103
201,103
202,103
203,103
204,103
205,104
206,104
207,104
208,104
209,105
210,105
211,106
212,106
213,106
214,106
215,107
216,107
217,107
218,107
219,108
220,109
221,109
222,110
223,110
224,111
225,111
226,112
227,113
228,113
229,114
230,114
231,114
232,115
233,115
234,115
235,115
236,116
237,116
238,116
239,116
240,117
241,117
242,118
243,118
244,119
245,120
246,120
247,121
248,121
249,121
250,121
251,121
252,121
253,122
254,122
255,122
256,123
257,123
258,123
259,123
260,123
261,123
262,124
263,124
264,124
265,124
266,124
267,125
268,126
269,126
270,127
271,127
272,127
273,127
274,127
275,127
276,127
277,127
278,128
279,129
280,129
281,130
282,131
283,132
284,132
285,133
286,134
287,134
288,134
289,134
290,135
291,136
292,136
293,136
294,136
295,136
296,136
297,136
298,136
299,137
300,138
301,138
302,139
303,139
304,139
305,139
306,139
307,139
308,139
309,139
310,139
311,139
312,140
313,140
314,141
315,141
316,141
317,141
318,142
319,143
320,144
321,145
322,145
323,145
324,145
325,146
326,147
327,147
328,148
329,148
330,148
331,149
332,149
333,149
334,149
335,149
336,149
337,149
338,149
339,149
340,150
341,150
342,151
343,152
344,153
345,153
346,154
347,154
348,155
349,155
350,155
351,156
352,157
353,157
354,158
355,159
356,159
357,159
358,159
359,159
360,159
361,159
362,159
363,159
364,159
365,159
366,160
367,161
368,161
369,162
370,163
371,163
372,163
373,163
374,163
375,164
376,165
377,165
378,165
379,165
380,165
381,165
382,165
383,165
384,166
385,167
386,167
387,168
388,168
389,168
390,168
391,168
392,168
393,168
394,169
395,169
396,170
397,170
398,171
399,171
400,171
401,172
402,172
403,172
404,173
405,173
406,173
407,173
408,173
409,173
410,174
411,174
412,174
413,174
414,175
415,176
416,177
417,177
418,178
419,179
420,180
421,181
422,182
423,183
424,184
425,185
426,185
427,186
428,187
429,188
430,189
431,190
432,190
433,190
434,191
435,192
436,192
437,192
438,193
439,193
440,193
441,193
442,193
443,194
444,194
445,194
446,195
447,195
448,195
449,196
450,197
451,198
452,198
453,199
454,199
455,200
456,200
457,200
458,201
459,201
460,202
461,203
462,203
463,203
464,203
465,204
466,204
467,205
468,205
469,205
470,206
471,206
472,207
473,208
474,208
475,208
476,208
477,209
478,209
479,209
480,209
481,209
482,209
483,210
484,210
485,211
486,211
487,212
488,212
489,212
490,212
491,212
492,212
493,212
494,212
495,212
496,212
497,212
498,212
499,212
500,213
501,214
502,214
503,215
504,215
505,216
506,217
507,217
508,218
509,218
510,219
511,219
512,219
513,219
514,219
515,220
516,220
517,221
518,221
519,222
520,222
521,223
522,224
523,225
524,225
525,225
526,225
527,225
528,225
529,225
530,226
531,227
532,227
533,228
534,228
535,229
536,230
537,231
538,231
539,232
540,232
541,232
542,232
543,232
544,232
545,232
546,233
547,233
548,233
549,233
550,233
551,233
552,234
553,235
554,235
555,235
556,235
557,235
558,236
559,236
560,237
561,237
562,238
563,238
564,238
