rank,freq,word
1,105,i
2,93,de
3,87,la
4,84,a
5,42,dret
6,38,en
7,37,el
8,33,l
9,31,que
10,31,o
11,30,per
12,30,article
13,30,té
14,28,persona
15,24,les
16,24,tota
17,22,d
18,21,drets
19,20,seva
20,19,els
21,19,no
22,15,dels
23,15,una
24,12,un
25,11,del
26,11,serà
27,10,llibertat
28,10,llibertats
29,10,al
30,9,nacions
31,9,humans
32,9,tots
33,9,és
34,8,contra
35,8,amb
36,8,aquesta
37,8,se
38,8,qualsevol
39,8,ningú
40,8,protecció
41,7,declaració
42,7,considerant
43,7,tothom
44,7,cap
45,7,igual
46,6,unides
47,6,família
48,6,han
49,6,com
50,6,social
51,6,llei
52,6,tenen
53,6,ser
54,6,als
55,5,dignitat
56,5,actes
57,5,s
58,5,més
59,5,es
60,5,vida
61,5,educació
62,5,seu
63,5,sense
64,5,religió
65,5,país
66,5,si
67,4,universal
68,4,reconeixement
69,4,iguals
70,4,humana
71,4,desenvolupament
72,4,entre
73,4,fonamentals
74,4,respecte
75,4,ple
76,4,aquest
77,4,cada
78,4,ensenyament
79,4,altres
80,4,altra
81,4,internacional
82,4,personalitat
83,4,seus
84,4,estat
85,4,nacionalitat
86,4,lliure
87,4,societat
88,4,treball
89,3,general
90,3,membres
91,3,consciència
92,3,creença
93,3,pobles
94,3,igualtat
95,3,aquests
96,3,mitjançant
97,3,sota
98,3,són
99,3,distinció
100,3,nacional
101,3,independent
102,3,seguretat
103,3,sotmès
104,3,totes
105,3,ni
106,3,discriminació
107,3,arbitràriament
108,3,condicions
109,3,segons
110,3,públic
111,3,què
112,3,lliurement
113,3,hi
114,3,privat
115,3,matrimoni
116,3,mitjà
117,3,participar
118,3,voluntat
119,2,assemblea
120,2,fonament
121,2,justícia
122,2,pau
123,2,món
124,2,ha
125,2,éssers
126,2,puguin
127,2,gaudir
128,2,expressió
129,2,essencial
130,2,tal
131,2,recurs
132,2,també
133,2,promoure
134,2,llur
135,2,homes
136,2,dones
137,2,progrés
138,2,nivell
139,2,dins
140,2,estats
141,2,assegurar
142,2,cooperació
143,2,organització
144,2,efectiu
145,2,nacionals
146,2,efectius
147,2,tant
148,2,proclamats
149,2,raça
150,2,opinió
151,2,mena
152,2,està
153,2,limitació
154,2,esclavitud
155,2,delicte
156,2,hom
157,2,li
158,2,defensa
159,2,moment
160,2,superior
161,2,intromissions
162,2,atacs
163,2,fronteres
164,2,cas
165,2,persecució
166,2,cercar
167,2,beneficiar
168,2,podrà
169,2,objectius
170,2,principis
171,2,canviar
172,2,casament
173,2,fonamental
174,2,propietat
175,2,individualment
176,2,inclou
177,2,associació
178,2,vot
179,2,socials
180,2,atur
181,2,asseguri
182,2,ell
183,2,mitjans
184,2,interessos
185,2,benestar
186,2,assistència
187,2,instrucció
188,2,elemental
189,2,activitats
190,2,comunitat
191,2,ordre
192,2,només
193,1,adoptada
194,1,proclamada
195,1,resolució
196,1,iii
197,1,desembre
198,1,preàmbul
199,1,inherent
200,1,inalienables
201,1,desconeixement
202,1,menyspreu
203,1,originat
204,1,barbàrie
205,1,ultratjat
206,1,humanitat
207,1,proclamat
208,1,aspiració
209,1,elevada
210,1,adveniment
211,1,on
212,1,deslliurats
213,1,temor
214,1,misèria
215,1,siguin
216,1,protegits
217,1,règim
218,1,persones
219,1,vegin
220,1,forçades
221,1,últim
222,1,rebel_lió
223,1,tirania
224,1,opressió
225,1,relacions
226,1,amistoses
227,1,ratificat
228,1,carta
229,1,fe
230,1,valor
231,1,decidit
232,1,millorar
233,1,àmplia
234,1,compromès
235,1,concepció
236,1,comuna
237,1,gran
238,1,importància
239,1,compliment
240,1,compromís
241,1,proclama
242,1,ideal
243,1,comú
244,1,assolir
245,1,fi
246,1,institució
247,1,inspirant
248,1,constantment
249,1,promoguin
250,1,assegurin
251,1,mesures
252,1,progressives
253,1,internacionals
254,1,aplicació
255,1,universals
256,1,territoris
257,1,jurisdicció
258,1,neixen
259,1,lliures
260,1,dotats
261,1,raó
262,1,comportar
263,1,fraternalment
264,1,uns
265,1,color
266,1,sexe
267,1,llengua
268,1,política
269,1,origen
270,1,fortuna
271,1,naixement
272,1,condició
273,1,farà
274,1,basada
275,1,estatut
276,1,polític
277,1,jurídic
278,1,territori
279,1,qual
280,1,pertanyi
281,1,administració
282,1,fiduciària
283,1,autònom
284,1,sobirania
285,1,servitud
286,1,tràfic
287,1,esclaus
288,1,prohibits
289,1,llurs
290,1,formes
291,1,tortures
292,1,penes
293,1,tractes
294,1,cruels
295,1,inhumans
296,1,degradants
297,1,arreu
298,1,jurídica
299,1,davant
300,1,violi
301,1,incitació
302,1,prop
303,1,tribunals
304,1,competents
305,1,empari
306,1,violin
307,1,reconeguts
308,1,constitució
309,1,detingut
310,1,pres
311,1,desterrat
312,1,plena
313,1,escoltada
314,1,públicament
315,1,tribunal
316,1,imparcial
317,1,determinacio
318,1,obligacions
319,1,examen
320,1,acusació
321,1,ella
322,1,matèria
323,1,penal
324,1,acusats
325,1,presumeixi
326,1,innocència
327,1,fins
328,1,provi
329,1,culpabilitat
330,1,judici
331,1,hagi
332,1,assegurat
333,1,garanties
334,1,necessàries
335,1,condemnat
336,1,omissions
337,1,varen
338,1,ésser
339,1,comesos
340,1,eren
341,1,delictius
342,1,tampoc
343,1,imposarà
344,1,pena
345,1,aplicable
346,1,cometre
347,1,objecte
348,1,arbitràries
349,1,privada
350,1,domicili
351,1,correspondència
352,1,honor
353,1,reputació
354,1,tals
355,1,circular
356,1,triar
357,1,residència
358,1,sortir
359,1,àdhuc
360,1,propi
361,1,retornar
362,1,asil
363,1,països
364,1,n
365,1,invocat
366,1,veritablement
367,1,originada
368,1,delictes
369,1,comuns
370,1,oposats
371,1,partir
372,1,edat
373,1,núbil
374,1,restricció
375,1,motius
376,1,casar
377,1,fundar
378,1,gaudiran
379,1,pel
380,1,fa
381,1,durant
382,1,dissolució
383,1,nomes
384,1,realitzarà
385,1,consentiment
386,1,futurs
387,1,esposos
388,1,element
389,1,natural
390,1,col_lectiva
391,1,pensament
392,1,col
393,1,lectivament
394,1,manifestar
395,1,pràctica
396,1,culte
397,1,observança
398,1,molestat
399,1,causa
400,1,pròpies
401,1,opinions
402,1,rebre
403,1,difondre
404,1,informacions
405,1,idees
406,1,límit
407,1,reunió
408,1,pacífiques
409,1,pot
410,1,obligat
411,1,pertànyer
412,1,govern
413,1,directament
414,1,representants
415,1,elegits
416,1,accedir
417,1,funcions
418,1,públiques
419,1,poble
420,1,autoritat
421,1,expressar
422,1,eleccions
423,1,autèntiques
424,1,hauran
425,1,fer
426,1,periòdicament
427,1,sufragi
428,1,secret
429,1,altre
430,1,procediment
431,1,equivalent
432,1,garanteixi
433,1,membre
434,1,obtenir
435,1,esforç
436,1,recursos
437,1,satisfacció
438,1,econòmics
439,1,culturals
440,1,indispensables
441,1,elecció
